listing_id,seller_source,seller_type,make,model,trim_generation,year,price_mga,price_raw,currency_original,price_type,negotiable,mileage_km,mileage_raw,fuel,transmission,drivetrain,engine,seats,options_summary,condition_notes,location,contact,include_in_estimation,duplicate_group,data_confidence,extraction_notes
ANX-MKT-0106,MADAUTO / Zo MADAUTO,Concessionnaire officiel,Nissan,Navara,SE Plus BVA,2026.0,174000000,174M Ar TTC,MGA,dealer_new_ttc,False,,Neuf / kilométrage non indiqué,Diesel,Automatique 7 rapports,4x4,"2.5 Diesel Common Rail, 190 ch, 450 Nm",5,"7 airbags, ABS, ESP, régulateur, contrôle descente, aide démarrage en côte, écran tactile 7 pouces, Bluetooth/USB, jantes alliage 17, marchepieds, protection de benne",Neuf concessionnaire; prix TTC communiqué par Zo MADAUTO,Madagascar,020 23 254 54,True,new_vehicle_reference,high,Prix issu du message WhatsApp; fiche technique Navara SE Plus 2026 fournie
ANX-MKT-0107,MADAUTO / Zo MADAUTO,Concessionnaire officiel,Nissan,Navara,XE Plus BVM,2024.0,156000000,156M Ar TTC,MGA,dealer_new_ttc,False,,Neuf / kilométrage non indiqué,Diesel,Manuelle 6 vitesses,4x4,"2.5 Diesel Common Rail, 165 ch, 403 Nm",5,"7 airbags, ABS/EBD, aide démarrage en côte, clim, radio CD AM/FM Bluetooth USB, 4 vitres électriques, verrouillage centralisé, protection de benne, pare-chocs arrière tubulaire",Neuf concessionnaire; prix TTC communiqué par Zo MADAUTO,Madagascar,020 23 254 54,True,new_vehicle_reference,high,Prix issu du message WhatsApp; fiche XE Plus Sept 2024 fournie; année modèle approximée depuis le nom de fichier
ANX-MKT-0108,MADAUTO / Zo MADAUTO,Concessionnaire officiel,Nissan,Navara,PRO-4X BVA,2026.0,234000000,234M Ar TTC,MGA,dealer_new_ttc,False,,Neuf / kilométrage non indiqué,Diesel,Automatique 7 vitesses,4x4,"2.5L TD Common Rail, 190 ch, 450 Nm",5,"8 airbags, caméra 360, caméra recul, clim bi-zone, Android Auto/Apple CarPlay écran 8, cuir, siège conducteur électrique 8 positions, phares LED automatiques, barres de toit, marchepieds noirs",Neuf concessionnaire; prix TTC communiqué par Zo MADAUTO,Madagascar,020 23 254 54,True,new_vehicle_reference,high,Prix issu du message WhatsApp; fiche technique PRO-4X fournie
ANX-MKT-0109,MADAUTO / Zo MADAUTO,Concessionnaire officiel,Renault,Koleos,E-Tech Full Hybrid,2025.0,210000000,210M Ar,MGA,dealer_new_ttc,False,,Neuf / kilométrage non indiqué,Hybride essence,Automatique hybride E-Tech,2WD (probable),E-Tech Full Hybrid 245 hp,5,"Écran panoramique openR 12.3, connectivité 5G, 31 systèmes d’aide à la conduite, Bose 10 haut-parleurs, hayon, sièges arrière inclinables/rabattables, version Esprit Alpine",Neuf concessionnaire; prix communiqué par Zo MADAUTO,Madagascar,020 23 254 54,True,new_vehicle_reference,high,Prix issu du message WhatsApp; brochure Koleos 2025 fournie
ANX-MKT-0110,MADAUTO / Zo MADAUTO,Concessionnaire officiel,Renault,Austral,1.3L TCe Techno 2WD,2024.0,204000000,204M Ar TTC,MGA,dealer_new_ttc,False,,Neuf / kilométrage non indiqué,Essence,CVT 8 vitesses séquentielle avec palettes,2WD,"1.3L TCe turbo 150 ch, 250 Nm",5,"Clim bi-zone, détecteur angle mort, aide parking AV/AR, caméra recul, siège conducteur électrique et massant, écran numérique 12.3, cuir/tissu, hayon motorisé, jantes 19",Neuf concessionnaire; prix TTC communiqué par Zo MADAUTO,Madagascar,020 23 254 54,True,new_vehicle_reference,high,Prix issu du message WhatsApp; fiche technique Austral 2024 fournie
ANX-MKT-0111,MADAUTO / Zo MADAUTO,Concessionnaire officiel,Renault,Duster,Evolution 2WD,2026.0,145000000,145M Ar TTC,MGA,dealer_new_ttc,False,,Neuf / kilométrage non indiqué,Essence,Automatique 7 rapports,2WD,"1.333 turbo injection directe, 153 ch, 250 Nm",5,"6 airbags, ABS, régulateur/limiteur, ESP/VSC, HSA, caméra recul, capteurs arrière, écran 10.1, Apple CarPlay/Android Auto, feux LED auto, antibrouillards, barres de toit, jantes 17",Neuf concessionnaire; prix TTC communiqué par Zo MADAUTO,Madagascar,020 23 254 54,True,new_vehicle_reference,high,Prix issu du message WhatsApp; fiche technique Nouveau Duster 2026 fournie
ANX-MKT-0118,MADAUTO / Zo MADAUTO / Changan Auto,Concessionnaire officiel,Changan,Hunter,BVM,2025.0,158000000,158M Ar TTC,MGA,dealer_new_ttc,False,,Neuf / kilométrage non indiqué,Diesel,Manuelle 6 rapports,4x4,"1.9 Diesel 4 cylindres, 150 ch, 350 Nm",5,"ABS/EBD, contrôle dynamique de trajectoire, régulateur de vitesse, aide au démarrage en côte, contrôle de descente, caméra et radar de recul, caméra latérale droite, clim automatique bi-zone, vitres électriques, radio AM/FM USB AUX 6 haut-parleurs, Bluetooth, feux diurnes LED, antibrouillards avant, jantes alliage, bed liner, marchepieds, garantie 5 ans",Neuf concessionnaire; prix TTC communiqué par Zo MADAUTO,Madagascar,,True,new_vehicle_reference,high,Prix issu du message WhatsApp; fiche technique Changan Hunter 2025 fournie
ANX-MKT-0119,MADAUTO / Zo MADAUTO / Changan Auto,Concessionnaire officiel,Changan,Hunter,BVA,2025.0,178000000,178M Ar TTC,MGA,dealer_new_ttc,False,,Neuf / kilométrage non indiqué,Diesel,Automatique 6 rapports,4x4,"1.9 Diesel 4 cylindres, 150 ch, 350 Nm",5,"ABS/EBD, contrôle dynamique de trajectoire, régulateur de vitesse, modes Normal/Eco/Sport, ouverture sans clé, démarrage sans clé, aide au démarrage en côte, contrôle de descente, caméra et radar de recul, caméra latérale droite, clim automatique bi-zone, sièges conducteur et passager électriques, vitres électriques, radio AM/FM USB AUX 6 haut-parleurs, Bluetooth, feux diurnes LED, antibrouillards avant, rétroviseurs rabattables auto, jantes alliage, bed liner, marchepieds, garantie 5 ans",Neuf concessionnaire; prix TTC communiqué par Zo MADAUTO,Madagascar,,True,new_vehicle_reference,high,Prix issu du message WhatsApp; fiche technique Changan Hunter 2025 fournie
