source_file,source_sheet,source_kind,source_quality_weight,condition,dealer_name,brand,model,version,year,year_imputed,mileage_km,fuel_type,transmission,body_style,price_listing_mga,price_excl_tax_mga,price_negotiable_mga,forward_filled
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Mazda,CX90,BOSS EDITION,2025,true,0,petrol,automatic,suv,329800000,329800000,,false
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Mazda,BT50,BLACKBOLT,2025,true,0,diesel,automatic,pickup,229800000,191500000,,false
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Enranger,G3,LUXE,2025,true,0,petrol,manual,suv,63000000,52500000,,false
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Enranger,G5,MIVEC SPORT,2025,true,0,petrol,manual,suv,72000000,60000000,,false
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Renault,DUSTER,INTENSE CVT,2025,true,0,petrol,automatic,suv,117000000,97500000,,false
OT new.xlsx,Neuf,dealer_official,1,new,CONTINENTAL AUTO,Brilliance,V3,ELEGANCE MT,2025,true,0,petrol,manual,suv,77800000,64833333,,false
OT new.xlsx,Neuf,dealer_official,1,new,CONTINENTAL AUTO,Brilliance,V4,ELEGANCE AT,2025,true,0,petrol,automatic,suv,84800000,70666667,,false
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Jetta,VS5,,2025,true,0,petrol,automatic,suv,139800000,116500000,,false
OT new.xlsx,Neuf,dealer_official,1,new,CONTINENTAL AUTO,Isuzu,DMAX,XRIDER AT,2025,true,0,diesel,automatic,pickup,193800000,161500000,,false
OT new.xlsx,Neuf,dealer_official,1,new,CONTINENTAL AUTO,Isuzu,DMAX,TITANIUM,2025,true,0,diesel,automatic,pickup,225000000,187500000,,false
OT new.xlsx,Neuf,dealer_official,1,new,CONTINENTAL AUTO,Isuzu,MUX,TITANIUM,2025,true,0,diesel,automatic,suv,309800000,258166667,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Volkswagen,T-Cross,Highline,2025,false,0,petrol,automatic,,150000000,150000000,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Volkswagen,Touareg,Elegance,2025,false,0,petrol,automatic,suv,500000000,500000000,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Volkswagen,Touareg,R-Line,2025,false,0,diesel,automatic,suv,550000000,550000000,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Volkswagen,Amarok,Life,2025,false,0,diesel,manual,pickup,220000000,220000000,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Volkswagen,Amarok,Life,2025,false,0,diesel,automatic,pickup,245000000,245000000,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Volkswagen,Amarok,Panamericana,2025,false,0,diesel,automatic,pickup,290000000,290000000,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Volkswagen,Amarok,Aventura,2025,false,0,diesel,automatic,pickup,300000000,300000000,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Mahindra,S11 Scorpio,Classic,2024,false,0,diesel,automatic,pickup,125000000,125000000,,false
Sodiama.xlsx,Neuf,dealer_official,1,new,SODIAMA,Mahindra,XUV 300,W8,2024,false,0,petrol,manual,,125000000,125000000,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,Nom du vendeur,Toyota,Hilux,2.8 D-4D,2019,false,85000,diesel,automatic,pickup,125000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Hilux,Revo 5L,2021,false,145000,diesel,manual,pickup,160000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Hilux,Revo 5L,2014,false,180000,diesel,manual,pickup,85000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,100,2007,false,190000,diesel,manual,suv,145000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,105,2004,false,250000,diesel,manual,suv,130000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,200,2010,false,160000,diesel,automatic,suv,140000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,200,2014,false,110000,diesel,automatic,suv,190000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,200,2018,false,110000,diesel,automatic,suv,220000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,200,2021,false,60000,diesel,automatic,suv,260000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,300,2022,false,25000,diesel,automatic,suv,330000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,76,2016,false,130000,diesel,manual,suv,210000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,Land Cruiser,79,2018,false,70000,diesel,manual,suv,220000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,RAV4,phase I,1996,false,200000,diesel,manual,suv,17000000,,,true
